no,username,handle,created_date,tweet_text,likes
4242,MH Chronicle,@MHNewsDaily,2024-02-14T11:28:43.000Z,"Scores of farmers were seen flying kites in the sky at the Shambhu border, where the protesters were being stalled from moving towards the national capital for the 'Dilli Chalo' march. #FarmersProtests2024 Here's why: https://edtr.ai/eu38",2
4243,MS,@MSfromUS,2024-02-08T15:59:33.000Z,"One week ago, civil society organisations gathered in #Brussels to support #peasants and #foodsovereignty. Here is our joint statement in solidarity with #farmers in #Europe—Building momentum for #agroecological #farming https://bit.ly/4bkfIPn #FarmersProtests2024",2
4244,Oneindia News,@Oneindia,2024-02-02T16:02:04.000Z,LFG Farmer's #FARMERSPROTESTS2024,1
4245,Press Trust of India,@PTI_News,2024-02-13T19:28:13.000Z,"""Traffic Advisory: In view of the ongoing farmers' protest at various borders of Delhi, traffic diversions will be in place,"" posts @dtptraffic . #Farmersprotests2024",16
4246,Iconicspeaker,@Iconicspeakerss,2024-02-14T11:28:43.000Z,"Scores of farmers were seen flying kites in the sky at the Shambhu border, where the protesters were being stalled from moving towards the national capital for the 'Dilli Chalo' march. #FarmersProtests2024 Here's why: https://edtr.ai/eu38",2
4247,Dr.Sandeep Kumar,@Sandeep00728861,2024-02-08T15:59:33.000Z,"One week ago, civil society organisations gathered in #Brussels to support #peasants and #foodsovereignty. Here is our joint statement in solidarity with #farmers in #Europe—Building momentum for #agroecological #farming https://bit.ly/4bkfIPn #FarmersProtests2024",2
4248,Zee News English,@ZeeNewsEnglish,2024-02-19T05:29:04.000Z,Do you want to #study in #Germany? Here's everything you need to know about: Study place search Various study courses Choosing a #university ... and useful links and tips for starting your studies in Germany! #StudyInGermany #FAQ,6.6K
4249,"Daljit Kaur Soni, Esq.",@daljitkaursoni,2024-02-13T19:28:13.000Z,"""Traffic Advisory: In view of the ongoing farmers' protest at various borders of Delhi, traffic diversions will be in place,"" posts @dtptraffic . #Farmersprotests2024",16
4250,VembanatModiKaParivar,@Vishwapada,2024-02-08T15:59:33.000Z,"One week ago, civil society organisations gathered in #Brussels to support #peasants and #foodsovereignty. Here is our joint statement in solidarity with #farmers in #Europe—Building momentum for #agroecological #farming https://bit.ly/4bkfIPn #FarmersProtests2024",2
4251,Financial Express,@FinancialXpress,2024-02-19T05:29:04.000Z,Do you want to #study in #Germany? Here's everything you need to know about: Study place search Various study courses Choosing a #university ... and useful links and tips for starting your studies in Germany! #StudyInGermany #FAQ,6.6K
4252,Emma Peel,@madelynrogers,2024-02-08T15:59:33.000Z,"One week ago, civil society organisations gathered in #Brussels to support #peasants and #foodsovereignty. Here is our joint statement in solidarity with #farmers in #Europe—Building momentum for #agroecological #farming https://bit.ly/4bkfIPn #FarmersProtests2024",2
4253,Sam,@hazy_sam,2024-02-19T06:00:00.000Z,Farmers' 'Delhi Chalo' march on 'standby' till February 21 as Centre offers MSP proposal #farmersprotests2024,2
4254,Sadda mann,@mann_sadda,2024-02-19T06:00:00.000Z,Farmers' 'Delhi Chalo' march on 'standby' till February 21 as Centre offers MSP proposal #farmersprotests2024,2
4255,Damodar Hegde Modi Ka Parivar,@DamodarHegde4,2024-02-19T06:00:00.000Z,Farmers' 'Delhi Chalo' march on 'standby' till February 21 as Centre offers MSP proposal #farmersprotests2024,2
4256,editorji,@editorji,2024-02-14T11:28:43.000Z,"Scores of farmers were seen flying kites in the sky at the Shambhu border, where the protesters were being stalled from moving towards the national capital for the 'Dilli Chalo' march. #FarmersProtests2024 Here's why: https://edtr.ai/eu38",2
4257,Capital TV,@capitaltvindia,2024-02-19T05:29:04.000Z,"#farmersprotests2024: During the fourth round of talks between the govt & farmer representatives, a proposal for a five-year commitment to procure pulses, maize, and cotton crops at #MSP was presented. #FarmerProtestInDelhi Read more:",
4258,Organiser Weekly,@eOrganiser,2024-02-02T13:30:25.000Z,Video shared on social media depicts #Dutch and #Belgian #FarmersProtest2024 obstructing traffic on a highway connecting the two nations. #FarmersProtest #Belgium #FARMERSPROTESTS2024 #bigtimerush #ibes,4
4259,Mahesh,@Maheshpune1975,2024-02-02T16:02:04.000Z,LFG Farmer's #FARMERSPROTESTS2024,1
4260,Algorand Foundation,@AlgoFoundation,2024-02-19T05:29:04.000Z,"#farmersprotests2024: During the fourth round of talks between the govt & farmer representatives, a proposal for a five-year commitment to procure pulses, maize, and cotton crops at #MSP was presented. #FarmerProtestInDelhi Read more:",
4261,Feedback EU,@feedback_europe,2024-02-19T06:00:00.000Z,Farmers' 'Delhi Chalo' march on 'standby' till February 21 as Centre offers MSP proposal #farmersprotests2024,2
4262,Republic,@republic,2024-02-08T15:59:33.000Z,"One week ago, civil society organisations gathered in #Brussels to support #peasants and #foodsovereignty. Here is our joint statement in solidarity with #farmers in #Europe—Building momentum for #agroecological #farming https://bit.ly/4bkfIPn #FarmersProtests2024",2
4263,Simran,@Tweetwhen1can,2024-02-02T16:02:04.000Z,LFG Farmer's #FARMERSPROTESTS2024,1
4264,Euro Coop,@EuroCoopTeam,2024-02-08T15:59:33.000Z,"One week ago, civil society organisations gathered in #Brussels to support #peasants and #foodsovereignty. Here is our joint statement in solidarity with #farmers in #Europe—Building momentum for #agroecological #farming https://bit.ly/4bkfIPn #FarmersProtests2024",2
4265,Beef steak Thermometer,@DeshBhakat13,2024-02-14T11:28:43.000Z,"Scores of farmers were seen flying kites in the sky at the Shambhu border, where the protesters were being stalled from moving towards the national capital for the 'Dilli Chalo' march. #FarmersProtests2024 Here's why: https://edtr.ai/eu38",2
4266,Christine Anderson,@AndersonAfDMdEP,2024-04-20T15:41:35.000Z,"#EU : #FarmersProtests intensify again in #France : In total, French farmers' protests have been going on for five months. What fake media doesn't tell you..",
4267,#kisan #farmerprotest #punjab #farmerprotest2024,@Kisan_support1,2024-02-23T03:21:18.000Z,Farmers have great importance in our society.They are the ones who provide us food to eat. #FarmerProtest2024 #FarmersProtests,51
4268,Tatsat Chronicle,@TatsatChronicle,2024-04-22T04:46:36.000Z,Will Legally Guaranteed Enhanced #MSP Aid Crop Diversification ? #agriculture #FarmersProtests #MSP #swaminathancommission #punjabagriculturaluniversity #nationalsamplesurvey @PAU_LDH,
4269,Agroecology Europe,@AgroecologyE,2024-03-28T11:45:44.000Z,"Forming #policy responses to #farmersprotests and designing the new #CAP, @EU_Commission must consider new scientific evidence on the benefits of #agroecology for socioeconomic viability, #nature, #foodsecurity, and #nutrition. https://agroecology-europe.org/new-study-reveals-the-positive-socio-economic-performance-of-agroecology/…",11
4270,rattycastle,@rattycastle,2024-03-28T11:45:44.000Z,"Forming #policy responses to #farmersprotests and designing the new #CAP, @EU_Commission must consider new scientific evidence on the benefits of #agroecology for socioeconomic viability, #nature, #foodsecurity, and #nutrition. https://agroecology-europe.org/new-study-reveals-the-positive-socio-economic-performance-of-agroecology/…",11
4271,Ariel Brunner,@ArielBrunner,2024-03-28T11:45:44.000Z,"Forming #policy responses to #farmersprotests and designing the new #CAP, @EU_Commission must consider new scientific evidence on the benefits of #agroecology for socioeconomic viability, #nature, #foodsecurity, and #nutrition. https://agroecology-europe.org/new-study-reveals-the-positive-socio-economic-performance-of-agroecology/…",11
4272,BhikuMhatre (Modi's Family),@MumbaichaDon,2024-02-23T03:21:18.000Z,Farmers have great importance in our society.They are the ones who provide us food to eat. #FarmerProtest2024 #FarmersProtests,51
4273,SiamPhaipi,@SiamPhaipi,2024-02-23T07:16:54.000Z,EU farmers get massive subsidy to grow food; still stressed. #FarmersProtests. We cannot even think of matching this. Then how will Indian agriculture survive in a climate risked world without discounting nature? Time to rethink the way we grow food,33
4274,Arpan Banerjee ( অর্পণ ব্যানার্জি ),@arpanaitc,2024-02-23T07:16:54.000Z,EU farmers get massive subsidy to grow food; still stressed. #FarmersProtests. We cannot even think of matching this. Then how will Indian agriculture survive in a climate risked world without discounting nature? Time to rethink the way we grow food,33
4275,ਰਾਵੀ ਕੌਰ /̵͇̿̿/'̿'̿ ̿ ̿̿ℝ𝕒𝕒𝕧𝕚 𝕂𝕒𝕦𝕣,@gL0cK__45,2024-02-23T03:21:18.000Z,Farmers have great importance in our society.They are the ones who provide us food to eat. #FarmerProtest2024 #FarmersProtests,51
4276,Fighter_4_Humanity,@Fighter_4_Human,2024-02-23T01:51:24.000Z,"#FarmersProtests ""𝗧𝗼𝗼 𝗺𝘂𝗰𝗵 𝗼𝗳 𝗱𝗲𝗺𝗼𝗰𝗿𝗮𝗰𝘆"" Haryana government to impose NSA on farmers' leaders and arrest them using National Security Act - NSA act 1980 section 2 (3) #FarmerLivesMatter #FarmerProtestInDelhi",85
4277,King Arthur & Excalibur,@OscarsWild1,2024-04-22T04:46:36.000Z,Will Legally Guaranteed Enhanced #MSP Aid Crop Diversification ? #agriculture #FarmersProtests #MSP #swaminathancommission #punjabagriculturaluniversity #nationalsamplesurvey @PAU_LDH,
4278,Aanand Krishna (Modi Ka Parivar),@aanand_krishnaa,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4279,ਰਾਵੀ ਕੌਰ /̵͇̿̿/'̿'̿ ̿ ̿̿ℝ𝕒𝕒𝕧𝕚 𝕂𝕒𝕦𝕣,@gL0cK__45,2024-02-22T02:52:18.000Z,𝙄𝙛... If #NarendraModi was the Prime Minister of #VikshitBharat then the Problems of #Farmers would have been Solved. #farmersprotests2024 #FarmersProtestInDelhi #FarmersProtests,85
4280,Tanpreet Kaur,@Tanpree19146368,2024-02-26T04:41:57.000Z,A man with his kids stuck because of so-called #FarmersProtests. He's begging to allow them to pass but.... It seems this time common people are going to retaIiate...,16K
