no,username,handle,created_date,tweet_text,likes
3393,unknown_3393,@NoiseAlerts,2024-02-26T08:18:42.000Z,"Here is where #farmers storm the EU area at Maalbeek near EU HQ. ""It looks like civil war"" say EU officials as tractors overwhelm police. #FarmerProtest2024 #FarmersProtest2024",3.4K
3394,Dhillon,@Davinder_777,2024-02-21T10:46:17.000Z,My heartfelt condolences to the family of deceased farmer Shubkaran son of Charanjit Singh of V.Ballo District Bathinda who was shot by Haryana police today at Khannauri border during #FarmerProtest2024. This is matter of grave concern and at the same time shame for @BhagwantMann,2.3K
3395,Indian Troll Lover,@trollove1,2024-02-25T06:16:07.000Z,"Why farmers are protesting? We answer. A thread, read on: Year after year, farmers in Punjab who tried to grow anything other than wheat and paddy, reeled other heavy losses, indicates the data accessed from Punjab Mandi Board. #FarmerProtest2024",79
3396,Indian Troll Lover,@trollove1,2024-02-24T07:05:05.000Z,"In Khalistan, when you show up to work after a few drinks, even your coworkers are rolling on the floor laughing and it's not",157
3397,Mandy Gall,@TheMandyGall,2024-02-25T13:56:37.000Z,"Per, Data released by @IndianExpress it clearly shows that farmers of Punjab tried to adopt crop diversification but suffered huge losses every year. From maize to pulses, millet to moong, they had to sell their produce below the MSP to private traders. #FarmerProtest2024",20
3398,voice4all,@EricS420_,2024-02-29T13:52:06.000Z,"We want full justice for the brutal murder of farmer #Shubkaran,injuries to more than 250 farmers & damages to hundreds of tractors during #FarmerProtest2024 by Haryana police intruding into Punjab territory @BhagwantMann not left handed justice- @RajaBrar_INC @SukhpalKhaira",115
3399,unknown_3399,@AdnanAliKhan555,2024-02-25T06:16:07.000Z,"Why farmers are protesting? We answer. A thread, read on: Year after year, farmers in Punjab who tried to grow anything other than wheat and paddy, reeled other heavy losses, indicates the data accessed from Punjab Mandi Board. #FarmerProtest2024",79
3400,Sirat Nijjar,@NijjarSirat,2024-02-25T06:16:07.000Z,"Why farmers are protesting? We answer. A thread, read on: Year after year, farmers in Punjab who tried to grow anything other than wheat and paddy, reeled other heavy losses, indicates the data accessed from Punjab Mandi Board. #FarmerProtest2024",79
3401,eBibleFellowship - NewOpenForum.org,@EBF2033,2024-02-24T09:17:52.000Z,Chaotic scenes at an Agricultural Fair in France - Farmers not happy with @EmmanuelMacron not happy at allï¿,221
3402,Reet Kaur journalist,@ReetKaur1296889,2024-02-24T07:05:05.000Z,"In Khalistan, when you show up to work after a few drinks, even your coworkers are rolling on the floor laughing and it's not",157
3403,karamprakash,@karamprakash6,2024-02-27T15:49:49.000Z,How are a bunch of literal sheep more revolutionary than the majority of Indians LMAAAAO #FarmerProtest2024,4
3404,Dhillon,@Davinder_777,2024-02-27T15:49:49.000Z,How are a bunch of literal sheep more revolutionary than the majority of Indians LMAAAAO #FarmerProtest2024,4
3405,Liz/Barsha,@debunk_misinfos,2024-02-21T08:17:28.000Z,"Haryana Police fired tear gas shells at 10:55, at least 5 minutes before planned march of farmers to Delhi #FarmersProtest #FarmerProtest #FarmerProtest2024 #FarmersProtest2024 #FarmerProtestInDelhi",53
3406,Jatinder Kaur Tur,@jatinder_tur,2024-02-24T09:17:52.000Z,Chaotic scenes at an Agricultural Fair in France - Farmers not happy with @EmmanuelMacron not happy at allï¿,221
3407,Vikas Bku Ugrahan,@vikas_bku,2024-02-29T03:16:31.000Z,Women participants of #FarmersProtest2024 Many women from Punjab are participating in Farmers protest at East Punjab and Harya,91
3408,Divya Goyal,@divya5521,2024-02-25T06:16:07.000Z,"Why farmers are protesting? We answer. A thread, read on: Year after year, farmers in Punjab who tried to grow anything other than wheat and paddy, reeled other heavy losses, indicates the data accessed from Punjab Mandi Board. #FarmerProtest2024",79
3409,doola,@doolaHQ,2024-02-25T06:16:07.000Z,"Why farmers are protesting? We answer. A thread, read on: Year after year, farmers in Punjab who tried to grow anything other than wheat and paddy, reeled other heavy losses, indicates the data accessed from Punjab Mandi Board. #FarmerProtest2024",79
