no,username,handle,tweet_text
31,Praveen Singh,@impraveensingh,"Farmers are being shot, The youth are being pushed into the trap of unemployment and paper leaks. After all, what was their mistake? Making Adani's watchman the head of the country? #FarmersProtest2024 #FarmersProtests #DabaJawanMaraKisan"
32,Proindianofficial,@Proindianofficl,Be in SOLIDARITY with our protesting farmers #farmersprotests2024 #FarmersProtests #FarmersProtest2
33,Haresh Kumar (Modi Ka Parivar),@kumarharesh,"RIP, #ShubhkaranSingh brother! In this hour of grief, the farmers of the entire country are with the bereaved families, your sacrifice always be remembered. May Waheguru Ji provide strength to his family during this difficult time #FarmersProtests"
34,Sailesh Sanjiva,@SanjivaSailesh,Truth of protesting framers! #FarmersProtests #FarmerLivesMatter #BudgetSpeechComp
35,karajlahoria28,@karajlahoria28,Farmers have great importance in our society.They are the ones who provide us food to eat. #FarmerProtest2024 #FarmersProtests
36,Fighter_4_Humanity,@Fighter_4_Human,Programme on youth #cooperatives today at ICM Guwahati. #NCCT #सहकारसेसमृद्धि #SahakarSeSamriddhi #सहकारिता_मंत्रालय #minofcooperatn #cooperative #FarmersProtests #NarendraModi #AmitShah
37,V,@MlogicGr8Again,Here is how Inidan govt blaming Farmers for the death of Police Officer due to their poor health while throwing tear shells at Protesting Farmers #FarmersProtests #FarmersProtestInDelhi
38,Mohit Gahlot (ï,@_MohitGahlot_,"Accounts related to #FarmerProtest are continuously on the target list of Modi Govt to ensure no news about Govt atrocities on farmers reaches to International media and common citizens of the country. ""Mother of Democracy"" for you. #FarmersProtest2024"
39,Tanpreet Kaur,@Tanpree19146368,You can take anything away from them but not the spirit in their DNA. #FarmersProtest2024
40,Gururaj Anjan,@Anjan94150697,"To ensure, news of #FarmersProtest2024 does not reach you, accounts of @praveenpscs , @garvitgarg15 & @gurshamshir has been Withheld now. These were the accounts which were continuously bringing us credible information about #FarmerProtest. #FreeSpeech has been blown to pieces."
41,DFRAC,@DFRAC_org,Twitter #farmers after their farmer neta #Rihana performing at #Ambani wedding. These vampantis wants capitalist money for themself and socialist poverty for real #farmer #FarmersProtest2024
42,Saudi Arabian Football Federation,@saudiff_en,"While Hindutva terr0r!$ts along with Haryana police are busy defaming farmers and damaging their tractors-trolleys, the ""real Hindus"", from Patran village, Punjab offer to fix them! #FarmersProtest2024"
43,yeosanger,@tokyeoskies,"The farmer who feeds 140 crore Indians by working hard day and night is getting beaten on the streets for his rights. Whether you have anything to do with farming or not, it is about bread and butter. The government will come and go, support the farmers. #FarmersProtest2024"
44,moosa jatt,@kaur672447642,LEST WE FORGET There's something more important going on right now. #FarmersProtest2024 #FarmersProtest
45,Mohit Gahlot (ï,@_MohitGahlot_,A new Protest in Favour of #FarmersProtest2024 highlighting the Brutality of Police Forces at Shambhu Border.
46,Punjab Panther,@Punjab_panther,"Seeking judicial enquiry by Retd. High Court Judge into the death of young farmer Shubhkaran Singh, the HC while issuing notice to Govt. has directed to file Affidavit. Reply has to be filed within a week by Govt. We will continue to fight for you brother #FarmersProtest2024"
47,Mohit Gahlot (ï,@_MohitGahlot_,"Farmers are sitting peacefully,stop saying they are terrorist, they feed you..... #FarmersProtest2024 #FarmersProtest"
48,Mohit Gahlot (ï,@_MohitGahlot_,Corporate v/s Kisaan #FarmersProtest2024 #MSP_
49,Farmers_Protest 2.0,@FarmersProtest_,Atal Bihari Vajpayee's Former Prime Minister of India was thinking towards farmers. Listen carefully Is Farmer Sikhs Modi Parivar or not ? #FarmersProtest2024
